PartipantID,TrialIndex,ChartName,TruePercentage,ReportedPercentage,Error
p.2017-11-20.12-15-0,0,sample,9.898946,12.5,1.4468142
p.2017-11-20.12-15-0,1,PieChart,13.542797,12.5,0.22378963
p.2017-11-20.12-15-0,2,sample,7.6399584,8.0,-1.0438195
p.2017-11-20.12-15-0,3,PieChart,7.5124917,5.0,1.3991666
p.2017-11-20.12-15-0,4,sample,12.31136,10.0,1.2847275
p.2017-11-20.12-15-0,5,PieChart,7.7151203,7.0,-0.25133213
p.2017-11-20.12-18-36,0,sample,8.173121,12.0,1.9825386
p.2017-11-20.12-18-36,1,PieChart,15.131394,9.0,2.6453316
p.2017-11-20.12-18-36,2,sample,9.894912,9.0,0.028444348
p.2017-11-20.12-18-36,3,PieChart,15.112566,13.0,1.1619303
p.2017-11-20.12-18-36,4,sample,9.099653,13.0,2.009113
p.2017-11-20.12-18-36,5,PieChart,9.493108,6.0,1.8552353
p.2017-11-20.12-20-2,0,sample,9.964285,12.0,1.1115088
p.2017-11-20.12-20-2,1,PieChart,7.526218,4.0,1.8683777
p.2017-11-20.12-20-2,2,sample,9.394037,9.0,-0.94609004
p.2017-11-20.12-20-2,3,PieChart,8.57716,6.0,1.434113
p.2017-11-20.12-20-2,4,sample,7.3172255,10.0,1.489427
p.2017-11-20.12-20-2,5,PieChart,9.130844,8.0,0.32865742
p.2017-11-20.12-25-9,0,sample,9.513079,9.0,-0.6481938
p.2017-11-20.12-25-9,1,PieChart,8.480848,8.0,-0.72297144
p.2017-11-20.12-25-9,2,sample,9.334614,10.0,-0.33937034
p.2017-11-20.12-25-9,3,PieChart,10.169463,5.0,2.4044845
p.2017-11-20.12-25-9,4,sample,14.210974,6.0,3.059351
p.2017-11-20.12-25-9,5,PieChart,9.874178,7.0,1.5845672
p.2017-11-20.12-33-11,0,sample,9.956495,10.0,-2.569139
p.2017-11-20.12-33-11,1,PieChart,16.879871,17.0,-2.028389
p.2017-11-20.12-33-11,2,sample,6.603901,12.0,2.4649553
p.2017-11-20.12-33-11,3,PieChart,9.924562,7.0,1.6086023
p.2017-11-20.12-33-11,4,sample,6.7687473,14.0,2.878971
p.2017-11-20.12-33-11,5,PieChart,11.435429,8.0,1.8320508
p.2017-11-20.12-36-53,0,sample,9.933551,15.0,2.3761373
p.2017-11-20.12-36-53,1,PieChart,16.217665,10.0,2.6650891
p.2017-11-20.12-36-53,2,sample,7.31358,12.0,2.2664628
p.2017-11-20.12-36-53,3,PieChart,12.992821,18.0,2.3595715
p.2017-11-20.12-36-53,4,sample,13.256575,5.0,3.0672212
p.2017-11-20.12-36-53,5,PieChart,10.855935,10.0,-0.02777041
